Year,Primary [I - V] Male,Primary [I - V] Female,Primary [I - V] Total,Upper Primary [VI- VII] Male,Upper Primary [VI- VII] Female,Upper Primary [VI- VII] Total,Secondary [IX - XII] Male,Secondary [IX - XII] Female,Secondary [IX - XII] Total
1950-51,138,54,192,26,5,31,NA,NA,NA
1960-61,236,114,350,51,16,67,NA,NA,NA
1970-71,357,213,570,94,39,133,NA,NA,NA
1980-81,453,285,738,139,68,207,NA,NA,NA
2000-01,640,498,1138,253,175,428,116,74,190
2005-06,705,616,1321,289,233,522,145,105,250
2006-07,711,626,1337,299,246,545,149,110,259
2007-08,711,644,1355,311,262,573,159,123,282
2008-09,706,647,1353,314,270,584,165,130,295
2009-10,697,639,1336,317,278,595,169,138,307
2010-11,701,646,1347,327,292,619,175,143,318
2011-12,726,672,1398,331,299,630,186,155,341
2012-13,696,652,1348,333,317,650,183,163,346
2013-14,686,638,1324,341,323,664,197,176,373
2014-15,676,629,1305,345,327,672,201,182,383
2015-16,669,622,1291,347,329,676,205,186,391
